epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,219.701,1.1614,1.8127,2.23034,0.89376,0,0.61115,0.4585,0.52084,0.39332,0.60173,0.44708,0.51616,0.3995,1.12227,2.09109,3.18378,0.8433,0,3.32151e-05,3.32151e-05,0.0668181
2,425.831,1.08415,1.62247,1.45725,0.84054,0,0.85246,0.73983,0.82491,0.61478,0.79794,0.79216,0.8321,0.62905,0.97752,1.49552,1.29473,0.75644,0,5.99602e-05,5.99602e-05,0.0335115
3,632.408,1.02933,1.54221,1.26245,0.81638,0,0.85533,0.76504,0.83107,0.65063,0.89922,0.75903,0.84767,0.65949,0.92786,1.37364,1.11925,0.73286,0,8.01052e-05,8.01052e-05,0.000198309
4,838.126,0.99904,1.48339,1.17763,0.8015,0,0.87178,0.79222,0.84797,0.66457,0.87913,0.79963,0.85763,0.67665,0.91073,1.34628,1.09015,0.72559,0,7.03e-05,7.03e-05,7.03e-05
5,1043.9,0.96578,1.45015,1.09894,0.782,0,0.87278,0.79326,0.85663,0.66518,0.88097,0.80067,0.86697,0.67317,0.91601,1.32835,1.09713,0.73302,0,6.04e-05,6.04e-05,6.04e-05
6,1248.38,0.95551,1.41143,1.05999,0.77453,0,0.88914,0.78019,0.85099,0.67365,0.90568,0.79079,0.86465,0.67783,0.90249,1.3369,1.03485,0.72735,0,5.05e-05,5.05e-05,5.05e-05
7,1453.58,0.93301,1.38356,1.0029,0.76879,0,0.85202,0.80553,0.85119,0.66947,0.86085,0.81541,0.86167,0.68314,0.90261,1.28716,1.03794,0.72387,0,4.06e-05,4.06e-05,4.06e-05
8,1658.62,0.92871,1.36763,0.97762,0.76675,0,0.87247,0.80074,0.86118,0.68,0.87727,0.81692,0.87295,0.69025,0.88884,1.29987,0.99317,0.71574,0,3.07e-05,3.07e-05,3.07e-05
9,1863.7,0.9203,1.35609,0.94897,0.75866,0,0.88448,0.8084,0.86497,0.68347,0.88635,0.81008,0.87095,0.69123,0.90119,1.29857,0.96289,0.71739,0,2.08e-05,2.08e-05,2.08e-05
10,2068.86,0.90404,1.32567,0.95089,0.75587,0,0.88505,0.81411,0.86311,0.68371,0.8851,0.81763,0.86887,0.68823,0.88487,1.29692,0.95991,0.71223,0,1.09e-05,1.09e-05,1.09e-05
